BaseItemTypesKey,ItemCurrentLevel,Experience
"<5161, 0>",4,852804
"<5161, 0>",5,1241538
"<5161, 0>",6,1718975
"<5161, 0>",7,2302761
"<5161, 0>",8,3013120
"<5161, 0>",9,4368631
"<5161, 0>",10,5507508
"<5161, 0>",11,6875741
"<5161, 0>",12,8514079
"<5161, 0>",13,10470727
"<5161, 0>",14,14125911
"<5161, 0>",15,17143238
"<5161, 0>",16,24863364
"<5161, 0>",17,39921819
"<5161, 0>",18,65886037
"<5161, 0>",19,128346808
"<5161, 0>",20,339855551
"<5162, 0>",1,0
"<5162, 0>",2,118383
"<5162, 0>",3,294199
"<5162, 0>",4,548260
"<5162, 0>",5,907350
"<5162, 0>",6,1405858
"<5162, 0>",7,2087915
"<5162, 0>",8,3009692
"<5162, 0>",9,4737571
"<5162, 0>",10,5876448
"<5162, 0>",11,7244681
"<5162, 0>",12,8883019
"<5162, 0>",13,10839667
"<5162, 0>",14,14494851
"<5162, 0>",15,17512178
"<5162, 0>",16,25306092
"<5162, 0>",17,40512123
"<5162, 0>",18,66697705
"<5162, 0>",19,129453628
"<5162, 0>",20,341331311
"<5163, 0>",1,0
"<5163, 0>",2,118383
"<5163, 0>",3,294199
"<5163, 0>",4,548260
"<5163, 0>",5,907350
"<5163, 0>",6,1405858
"<5163, 0>",7,2087915
"<5163, 0>",8,3009692
"<5163, 0>",9,4737571
"<5163, 0>",10,5876448
"<5163, 0>",11,7244681
"<5163, 0>",12,8883019
"<5163, 0>",13,10839667
"<5163, 0>",14,14494851
"<5163, 0>",15,17512178
"<5163, 0>",16,25306092
"<5163, 0>",17,40512123
"<5163, 0>",18,66697705
"<5163, 0>",19,129453628
"<5163, 0>",20,341331311
"<5164, 0>",1,0
"<5164, 0>",2,118383
"<5164, 0>",3,294199
"<5164, 0>",4,548260
"<5164, 0>",5,907350
"<5164, 0>",6,1405858
"<5164, 0>",7,2087915
"<5164, 0>",8,3009692
"<5164, 0>",9,4737571
"<5164, 0>",10,5876448
"<5164, 0>",11,7244681
"<5164, 0>",12,8883019
"<5164, 0>",13,10839667
"<5164, 0>",14,14494851
"<5164, 0>",15,17512178
"<5164, 0>",16,25306092
"<5164, 0>",17,40512123
"<5164, 0>",18,66697705
"<5164, 0>",19,129453628
"<5164, 0>",20,341331311
"<5165, 0>",1,0
"<5165, 0>",2,118383
"<5165, 0>",3,294199
"<5165, 0>",4,548260
"<5165, 0>",5,907350
"<5165, 0>",6,1405858
"<5165, 0>",7,2087915
"<5165, 0>",8,3009692
"<5165, 0>",9,4737571
"<5165, 0>",10,5876448
"<5165, 0>",11,7244681
"<5165, 0>",12,8883019
"<5165, 0>",13,10839667
"<5165, 0>",14,14494851
"<5165, 0>",15,17512178
"<5165, 0>",16,25306092
"<5165, 0>",17,40512123
"<5165, 0>",18,66697705
"<5165, 0>",19,129453628
"<5165, 0>",20,341331311
"<5166, 0>",1,0
"<5166, 0>",2,15249
"<5166, 0>",3,56766
"<5166, 0>",4,138749
"<5166, 0>",5,286717
"<5166, 0>",6,537274
"<5166, 0>",7,942360
"<5166, 0>",8,1390078
"<5166, 0>",9,2005396
"<5166, 0>",10,2840035
"<5166, 0>",11,4410795
"<5166, 0>",12,6044782
"<5166, 0>",13,8195812
"<5166, 0>",14,11008001
"<5166, 0>",15,16107361
"<5166, 0>",16,25508092
"<5166, 0>",17,40781458
"<5166, 0>",18,67068040
"<5166, 0>",19,129958630
"<5166, 0>",20,342004647
"<5167, 0>",1,0
"<5167, 0>",2,199345
"<5167, 0>",3,485160
"<5167, 0>",4,886504
"<5167, 0>",5,1440883
"<5167, 0>",6,1918320
"<5167, 0>",7,2502106
"<5167, 0>",8,3212465
"<5167, 0>",9,4567976
"<5167, 0>",10,5706853
"<5167, 0>",11,7075086
"<5167, 0>",12,8713424
"<5167, 0>",13,10670072
"<5167, 0>",14,14325256
"<5167, 0>",15,17342583
"<5167, 0>",16,25102578
"<5167, 0>",17,40240771
"<5167, 0>",18,66324596
"<5167, 0>",19,128944843
"<5167, 0>",20,340652931
"<5168, 0>",1,0
"<5168, 0>",2,388734
"<5168, 0>",3,866171
"<5168, 0>",4,1449957
"<5168, 0>",5,2160316
"<5168, 0>",6,3515827
"<5168, 0>",7,4654704
"<5168, 0>",8,6022937
"<5168, 0>",9,7661275
"<5168, 0>",10,9617923
"<5168, 0>",11,13273107
"<5168, 0>",12,16290434
"<5168, 0>",13,19866666
"<5168, 0>",14,24098333
"<5168, 0>",15,26493411
"<5168, 0>",16,34914474
"<5168, 0>",17,51074457
"<5168, 0>",18,92244824
"<5168, 0>",19,179039272
"<5168, 0>",20,336444335
"<5169, 0>",1,0
"<5169, 0>",2,388734
"<5169, 0>",3,866171
"<5169, 0>",4,1449957
"<5169, 0>",5,2160316
"<5169, 0>",6,3515827
"<5169, 0>",7,4654704
"<5169, 0>",8,6022937
"<5169, 0>",9,7661275
"<5169, 0>",10,9617923
"<5169, 0>",11,13273107
"<5169, 0>",12,16290434
"<5169, 0>",13,19866666
"<5169, 0>",14,24098333
"<5169, 0>",15,26493411
"<5169, 0>",16,34914474
"<5169, 0>",17,51074457
"<5169, 0>",18,92244824
"<5169, 0>",19,179039272
"<5169, 0>",20,336444335
"<5170, 0>",1,0
"<5170, 0>",2,3231
"<5170, 0>",3,12800
"<5170, 0>",4,40989
"<5170, 0>",5,100135
"<5170, 0>",6,211327
"<5170, 0>",7,405127
"<5170, 0>",8,725407
"<5170, 0>",9,1233246
"<5170, 0>",10,1787625
"<5170, 0>",11,2542674
"<5170, 0>",12,3559207
"<5170, 0>",13,5457809
"<5170, 0>",14,7421828
"<5170, 0>",15,9995559
"<5170, 0>",16,17606398
"<5170, 0>",17,31043282
"<5170, 0>",18,56093893
"<5170, 0>",19,99961281
"<5170, 0>",20,342039899
"<5171, 0>",1,0
"<5171, 0>",2,69833
"<5171, 0>",3,198382
"<5171, 0>",4,352935
"<5171, 0>",5,578309
"<5171, 0>",6,898981
"<5171, 0>",7,1346699
"<5171, 0>",8,1962017
"<5171, 0>",9,2796656
"<5171, 0>",10,4367416
"<5171, 0>",11,6001403
"<5171, 0>",12,8152433
"<5171, 0>",13,10964622
"<5171, 0>",14,14619806
"<5171, 0>",15,17637133
"<5171, 0>",16,25456038
"<5171, 0>",17,40712051
"<5171, 0>",18,66972606
"<5171, 0>",19,129828493
"<5171, 0>",20,341831131
"<5172, 0>",1,0
"<5172, 0>",2,15249
"<5172, 0>",3,56766
"<5172, 0>",4,138749
"<5172, 0>",5,286717
"<5172, 0>",6,537274
"<5172, 0>",7,942360
"<5172, 0>",8,1390078
"<5172, 0>",9,2005396
"<5172, 0>",10,2840035
"<5172, 0>",11,4410795
"<5172, 0>",12,6044782
"<5172, 0>",13,8195812
"<5172, 0>",14,11008001
"<5172, 0>",15,16107361
"<5172, 0>",16,25508092
"<5172, 0>",17,40781458
"<5172, 0>",18,67068040
"<5172, 0>",19,129958630
"<5172, 0>",20,342004647
"<5173, 0>",1,0
"<5173, 0>",2,285815
"<5173, 0>",3,538410
"<5173, 0>",4,852804
"<5173, 0>",5,1241538
"<5173, 0>",6,1718975
"<5173, 0>",7,2302761
"<5173, 0>",8,3013120
"<5173, 0>",9,4368631
"<5173, 0>",10,5507508
"<5173, 0>",11,6875741
"<5173, 0>",12,8514079
"<5173, 0>",13,10470727
"<5173, 0>",14,14125911
"<5173, 0>",15,17143238
"<5173, 0>",16,24863364
"<5173, 0>",17,39921819
"<5173, 0>",18,65886037
"<5173, 0>",19,128346808
"<5173, 0>",20,339855551
"<5174, 0>",1,0
"<5174, 0>",2,285815
"<5174, 0>",3,538410
"<5174, 0>",4,852804
"<5174, 0>",5,1241538
"<5174, 0>",6,1718975
"<5174, 0>",7,2302761
"<5174, 0>",8,3013120
"<5174, 0>",9,4368631
"<5174, 0>",10,5507508
"<5174, 0>",11,6875741
"<5174, 0>",12,8514079
"<5174, 0>",13,10470727
"<5174, 0>",14,14125911
"<5174, 0>",15,17143238
"<5174, 0>",16,24863364
"<5174, 0>",17,39921819
"<5174, 0>",18,65886037
"<5174, 0>",19,128346808
"<5174, 0>",20,339855551
"<5175, 0>",1,0
"<5175, 0>",2,388734
"<5175, 0>",3,866171
"<5175, 0>",4,1449957
"<5175, 0>",5,2160316
"<5175, 0>",6,3515827
"<5175, 0>",7,4654704
"<5175, 0>",8,6022937
"<5175, 0>",9,7661275
"<5175, 0>",10,9617923
"<5175, 0>",11,13273107
"<5175, 0>",12,16290434
"<5175, 0>",13,19866666
"<5175, 0>",14,24098333
"<5175, 0>",15,26493411
"<5175, 0>",16,34914474
"<5175, 0>",17,51074457
"<5175, 0>",18,92244824
"<5175, 0>",19,179039272
"<5175, 0>",20,336444335
"<5176, 0>",1,0
"<5176, 0>",2,15249
"<5176, 0>",3,56766
"<5176, 0>",4,138749
"<5176, 0>",5,286717
"<5176, 0>",6,537274
"<5176, 0>",7,942360
"<5176, 0>",8,1390078
"<5176, 0>",9,2005396
"<5176, 0>",10,2840035
"<5176, 0>",11,4410795
"<5176, 0>",12,6044782
"<5176, 0>",13,8195812
"<5176, 0>",14,11008001
"<5176, 0>",15,16107361
"<5176, 0>",16,25508092
"<5176, 0>",17,40781458
"<5176, 0>",18,67068040
"<5176, 0>",19,129958630
"<5176, 0>",20,342004647
"<5177, 0>",1,0
"<5177, 0>",2,388734
"<5177, 0>",3,866171
"<5177, 0>",4,1449957
"<5177, 0>",5,2160316
"<5177, 0>",6,3515827
"<5177, 0>",7,4654704
"<5177, 0>",8,6022937
"<5177, 0>",9,7661275
"<5177, 0>",10,9617923
"<5177, 0>",11,13273107
"<5177, 0>",12,16290434
"<5177, 0>",13,19866666
"<5177, 0>",14,24098333
"<5177, 0>",15,26493411
"<5177, 0>",16,34914474
"<5177, 0>",17,51074457
"<5177, 0>",18,92244824
"<5177, 0>",19,179039272
"<5177, 0>",20,336444335
"<5178, 0>",1,0
"<5178, 0>",2,388734
"<5178, 0>",3,866171
"<5178, 0>",4,1449957
"<5178, 0>",5,2160316
"<5178, 0>",6,3515827
"<5178, 0>",7,4654704
"<5178, 0>",8,6022937
"<5178, 0>",9,7661275
"<5178, 0>",10,9617923
"<5178, 0>",11,13273107
"<5178, 0>",12,16290434
"<5178, 0>",13,19866666
"<5178, 0>",14,24098333
"<5178, 0>",15,26493411
"<5178, 0>",16,34914474
"<5178, 0>",17,51074457
"<5178, 0>",18,92244824
"<5178, 0>",19,179039272
"<5178, 0>",20,336444335
"<5179, 0>",1,0
"<5179, 0>",2,3231
"<5179, 0>",3,12800
"<5179, 0>",4,40989
"<5179, 0>",5,100135
"<5179, 0>",6,211327
"<5179, 0>",7,405127
"<5179, 0>",8,725407
"<5179, 0>",9,1233246
"<5179, 0>",10,1787625
"<5179, 0>",11,2542674
"<5179, 0>",12,3559207
"<5179, 0>",13,5457809
"<5179, 0>",14,7421828
"<5179, 0>",15,9995559
"<5179, 0>",16,17606398
"<5179, 0>",17,31043282
"<5179, 0>",18,56093893
"<5179, 0>",19,99961281
"<5179, 0>",20,342039899
"<5180, 0>",1,0
"<5180, 0>",2,226854909
"<5180, 0>",3,1666045137
"<5181, 0>",1,0
"<5181, 0>",2,15249
"<5181, 0>",3,56766
"<5181, 0>",4,138749
"<5181, 0>",5,286717
"<5181, 0>",6,537274
"<5181, 0>",7,942360
"<5181, 0>",8,1390078
"<5181, 0>",9,2005396
"<5181, 0>",10,2840035
"<5181, 0>",11,4410795
"<5181, 0>",12,6044782
"<5181, 0>",13,8195812
"<5181, 0>",14,11008001
"<5181, 0>",15,16107361
"<5181, 0>",16,25508092
"<5181, 0>",17,40781458
"<5181, 0>",18,67068040
"<5181, 0>",19,129958630
"<5181, 0>",20,342004647
"<5252, 0>",1,0
"<5252, 0>",2,15249
"<5252, 0>",3,56766
"<5252, 0>",4,138749
"<5252, 0>",5,286717
"<5252, 0>",6,537274
"<5252, 0>",7,942360
"<5252, 0>",8,1390078
"<5252, 0>",9,2005396
"<5252, 0>",10,2840035
"<5252, 0>",11,4410795
"<5252, 0>",12,6044782
"<5252, 0>",13,8195812
"<5252, 0>",14,11008001
"<5252, 0>",15,16107361
"<5252, 0>",16,25508092
"<5252, 0>",17,40781458
"<5252, 0>",18,67068040
"<5252, 0>",19,129958630
"<5252, 0>",20,342004647
"<5182, 0>",1,0
"<5182, 0>",2,9569
"<5182, 0>",3,37758
"<5182, 0>",4,96904
"<5182, 0>",5,208096
"<5182, 0>",6,401896
"<5182, 0>",7,722176
"<5182, 0>",8,1081266
"<5182, 0>",9,1579774
"<5182, 0>",10,2261831
"<5182, 0>",11,3183608
"<5182, 0>",12,4911487
"<5182, 0>",13,6703256
"<5182, 0>",14,9056935
"<5182, 0>",15,12127847
"<5182, 0>",16,21223313
"<5182, 0>",17,37263203
"<5182, 0>",18,67080320
"<5182, 0>",19,129975376
"<5182, 0>",20,342026975
"<5183, 0>",1,0
"<5183, 0>",2,69833
"<5183, 0>",3,198382
"<5183, 0>",4,352935
"<5183, 0>",5,578309
"<5183, 0>",6,898981
"<5183, 0>",7,1346699
"<5183, 0>",8,1962017
"<5183, 0>",9,2796656
"<5183, 0>",10,4367416
"<5183, 0>",11,6001403
"<5183, 0>",12,8152433
"<5183, 0>",13,10964622
"<5183, 0>",14,14619806
"<5183, 0>",15,17637133
"<5183, 0>",16,25456038
"<5183, 0>",17,40712051
"<5183, 0>",18,66972606
"<5183, 0>",19,129828493
"<5183, 0>",20,341831131
"<5184, 0>",1,0
"<5184, 0>",2,199345
"<5184, 0>",3,485160
"<5184, 0>",4,886504
"<5184, 0>",5,1440883
"<5184, 0>",6,1918320
"<5184, 0>",7,2502106
"<5184, 0>",8,3212465
"<5184, 0>",9,4567976
"<5184, 0>",10,5706853
"<5184, 0>",11,7075086
"<5184, 0>",12,8713424
"<5184, 0>",13,10670072
"<5184, 0>",14,14325256
"<5184, 0>",15,17342583
"<5184, 0>",16,25102578
"<5184, 0>",17,40240771
"<5184, 0>",18,66324596
"<5184, 0>",19,128944843
"<5184, 0>",20,340652931
"<5185, 0>",1,0
"<5185, 0>",2,70
"<5185, 0>",3,378
"<5185, 0>",4,1932
"<5185, 0>",5,8599
"<5185, 0>",6,34646
"<5185, 0>",7,84371
"<5185, 0>",8,180085
"<5185, 0>",9,349680
"<5185, 0>",10,633439
"<5185, 0>",11,1087435
"<5185, 0>",12,1790563
"<5185, 0>",13,2851786
"<5185, 0>",14,4917656
"<5185, 0>",15,7424766
"<5185, 0>",16,13223702
"<5185, 0>",17,28307621
"<5185, 0>",18,56100356
"<5185, 0>",19,99970095
"<5185, 0>",20,342051651
"<5186, 0>",1,0
"<5186, 0>",2,285815
"<5186, 0>",3,538410
"<5186, 0>",4,852804
"<5186, 0>",5,1241538
"<5186, 0>",6,1718975
"<5186, 0>",7,2302761
"<5186, 0>",8,3013120
"<5186, 0>",9,4368631
"<5186, 0>",10,5507508
"<5186, 0>",11,6875741
"<5186, 0>",12,8514079
"<5186, 0>",13,10470727
"<5186, 0>",14,14125911
"<5186, 0>",15,17143238
"<5186, 0>",16,24863364
"<5186, 0>",17,39921819
"<5186, 0>",18,65886037
"<5186, 0>",19,128346808
"<5186, 0>",20,339855551
"<5187, 0>",1,0
"<5187, 0>",2,285815
"<5187, 0>",3,538410
"<5187, 0>",4,852804
"<5187, 0>",5,1241538
"<5187, 0>",6,1718975
"<5187, 0>",7,2302761
"<5187, 0>",8,3013120
"<5187, 0>",9,4368631
"<5187, 0>",10,5507508
"<5187, 0>",11,6875741
"<5187, 0>",12,8514079
"<5187, 0>",13,10470727
"<5187, 0>",14,14125911
"<5187, 0>",15,17143238
"<5187, 0>",16,24863364
"<5187, 0>",17,39921819
"<5187, 0>",18,65886037
"<5187, 0>",19,128346808
"<5187, 0>",20,339855551
"<5188, 0>",1,0
"<5188, 0>",2,388734
"<5188, 0>",3,866171
"<5188, 0>",4,1449957
"<5188, 0>",5,2160316
"<5188, 0>",6,3515827
"<5188, 0>",7,4654704
"<5188, 0>",8,6022937
"<5188, 0>",9,7661275
"<5188, 0>",10,9617923
"<5188, 0>",11,13273107
"<5188, 0>",12,16290434
"<5188, 0>",13,19866666
"<5188, 0>",14,24098333
"<5188, 0>",15,26493411
"<5188, 0>",16,34914474
"<5188, 0>",17,51074457
"<5188, 0>",18,92244824
"<5188, 0>",19,179039272
"<5188, 0>",20,336444335
"<5189, 0>",1,0
"<5189, 0>",2,388734
"<5189, 0>",3,866171
"<5189, 0>",4,1449957
"<5189, 0>",5,2160316
"<5189, 0>",6,3515827
"<5189, 0>",7,4654704
"<5189, 0>",8,6022937
"<5189, 0>",9,7661275
"<5189, 0>",10,9617923
"<5189, 0>",11,13273107
"<5189, 0>",12,16290434
"<5189, 0>",13,19866666
"<5189, 0>",14,24098333
"<5189, 0>",15,26493411
"<5189, 0>",16,34914474
"<5189, 0>",17,51074457
"<5189, 0>",18,92244824
"<5189, 0>",19,179039272
"<5189, 0>",20,336444335
"<5190, 0>",1,0
"<5190, 0>",2,388734
"<5190, 0>",3,866171
"<5190, 0>",4,1449957
"<5190, 0>",5,2160316
"<5190, 0>",6,3515827
"<5190, 0>",7,4654704
"<5190, 0>",8,6022937
"<5190, 0>",9,7661275
"<5190, 0>",10,9617923
"<5190, 0>",11,13273107
"<5190, 0>",12,16290434
"<5190, 0>",13,19866666
"<5190, 0>",14,24098333
"<5190, 0>",15,26493411
"<5190, 0>",16,34914474
"<5190, 0>",17,51074457
"<5190, 0>",18,92244824
"<5190, 0>",19,179039272
"<5190, 0>",20,336444335
"<5191, 0>",1,0
"<5191, 0>",2,841
"<5191, 0>",3,3940
"<5191, 0>",4,11373
"<5191, 0>",5,34268
"<5191, 0>",6,83993
"<5191, 0>",7,179707
"<5191, 0>",8,349302
"<5191, 0>",9,633061
"<5191, 0>",10,1087057
"<5191, 0>",11,1790185
"<5191, 0>",12,2851408
"<5191, 0>",13,4917278
"<5191, 0>",14,7424388
"<5191, 0>",15,9998119
"<5191, 0>",16,17609470
"<5191, 0>",17,31047378
"<5191, 0>",18,56099525
"<5191, 0>",19,99968961
"<5191, 0>",20,342050139
"<5192, 0>",1,0
"<5192, 0>",2,226854909
"<5192, 0>",3,1666045137
"<5193, 0>",1,0
"<5193, 0>",2,118383
"<5193, 0>",3,294199
"<5193, 0>",4,548260
"<5193, 0>",5,907350
"<5193, 0>",6,1405858
"<5193, 0>",7,2087915
"<5193, 0>",8,3009692
"<5193, 0>",9,4737571
"<5193, 0>",10,5876448
"<5193, 0>",11,7244681
"<5193, 0>",12,8883019
"<5193, 0>",13,10839667
"<5193, 0>",14,14494851
"<5193, 0>",15,17512178
"<5193, 0>",16,25306092
"<5193, 0>",17,40512123
"<5193, 0>",18,66697705
"<5193, 0>",19,129453628
"<5193, 0>",20,341331311
"<5195, 0>",1,0
"<5195, 0>",2,118383
"<5195, 0>",3,294199
"<5195, 0>",4,548260
"<5195, 0>",5,907350
"<5195, 0>",6,1405858
"<5195, 0>",7,2087915
"<5195, 0>",8,3009692
"<5195, 0>",9,4737571
"<5195, 0>",10,5876448
"<5195, 0>",11,7244681
"<5195, 0>",12,8883019
"<5195, 0>",13,10839667
"<5195, 0>",14,14494851
"<5195, 0>",15,17512178
"<5195, 0>",16,25306092
"<5195, 0>",17,40512123
"<5195, 0>",18,66697705
"<5195, 0>",19,129453628
"<5195, 0>",20,341331311
"<5197, 0>",1,0
"<5197, 0>",2,118383
"<5197, 0>",3,294199
"<5197, 0>",4,548260
"<5197, 0>",5,907350
"<5197, 0>",6,1405858
"<5197, 0>",7,2087915
"<5197, 0>",8,3009692
"<5197, 0>",9,4737571
"<5197, 0>",10,5876448
"<5197, 0>",11,7244681
"<5197, 0>",12,8883019
"<5197, 0>",13,10839667
"<5197, 0>",14,14494851
"<5197, 0>",15,17512178
"<5197, 0>",16,25306092
"<5197, 0>",17,40512123
"<5197, 0>",18,66697705
"<5197, 0>",19,129453628
"<5197, 0>",20,341331311
"<5199, 0>",1,0
"<5199, 0>",2,15249
"<5199, 0>",3,56766
"<5199, 0>",4,138749
"<5199, 0>",5,286717
"<5199, 0>",6,537274
"<5199, 0>",7,942360
"<5199, 0>",8,1390078
"<5199, 0>",9,2005396
"<5199, 0>",10,2840035
"<5199, 0>",11,4410795
"<5199, 0>",12,6044782
"<5199, 0>",13,8195812
"<5199, 0>",14,11008001
"<5199, 0>",15,16107361
"<5199, 0>",16,25508092
"<5199, 0>",17,40781458
"<5199, 0>",18,67068040
"<5199, 0>",19,129958630
"<5199, 0>",20,342004647
"<5200, 0>",1,0
"<5200, 0>",2,199345
"<5200, 0>",3,485160
"<5200, 0>",4,886504
"<5200, 0>",5,1440883
"<5200, 0>",6,1918320
"<5200, 0>",7,2502106
"<5200, 0>",8,3212465
"<5200, 0>",9,4567976
"<5200, 0>",10,5706853
"<5200, 0>",11,7075086
"<5200, 0>",12,8713424
"<5200, 0>",13,10670072
"<5200, 0>",14,14325256
"<5200, 0>",15,17342583
"<5200, 0>",16,25102578
"<5200, 0>",17,40240771
"<5200, 0>",18,66324596
"<5200, 0>",19,128944843
"<5200, 0>",20,340652931
"<5201, 0>",1,0
"<5201, 0>",2,15249
"<5201, 0>",3,56766
"<5201, 0>",4,138749
"<5201, 0>",5,286717
"<5201, 0>",6,537274
"<5201, 0>",7,942360
"<5201, 0>",8,1390078
"<5201, 0>",9,2005396
"<5201, 0>",10,2840035
"<5201, 0>",11,4410795
"<5201, 0>",12,6044782
"<5201, 0>",13,8195812
"<5201, 0>",14,11008001
"<5201, 0>",15,16107361
"<5201, 0>",16,25508092
"<5201, 0>",17,40781458
"<5201, 0>",18,67068040
"<5201, 0>",19,129958630
"<5201, 0>",20,342004647
"<5202, 0>",1,0
"<5202, 0>",2,199345
"<5202, 0>",3,485160
"<5202, 0>",4,886504
"<5202, 0>",5,1440883
"<5202, 0>",6,1918320
"<5202, 0>",7,2502106
"<5202, 0>",8,3212465
"<5202, 0>",9,4567976
"<5202, 0>",10,5706853
"<5202, 0>",11,7075086
"<5202, 0>",12,8713424
"<5202, 0>",13,10670072
"<5202, 0>",14,14325256
"<5202, 0>",15,17342583
"<5202, 0>",16,25102578
"<5202, 0>",17,40240771
"<5202, 0>",18,66324596
"<5202, 0>",19,128944843
"<5202, 0>",20,340652931
"<5203, 0>",1,0
"<5203, 0>",2,70
"<5203, 0>",3,378
"<5203, 0>",4,1932
"<5203, 0>",5,8599
"<5203, 0>",6,34646
"<5203, 0>",7,84371
"<5203, 0>",8,180085
"<5203, 0>",9,349680
"<5203, 0>",10,633439
"<5203, 0>",11,1087435
"<5203, 0>",12,1790563
"<5203, 0>",13,2851786
"<5203, 0>",14,4917656
"<5203, 0>",15,7424766
"<5203, 0>",16,13223702
"<5203, 0>",17,28307621
"<5203, 0>",18,56100356
"<5203, 0>",19,99970095
"<5203, 0>",20,342051651
"<5204, 0>",1,0
"<5204, 0>",2,841
"<5204, 0>",3,3940
"<5204, 0>",4,11373
"<5204, 0>",5,34268
"<5204, 0>",6,83993
"<5204, 0>",7,179707
"<5204, 0>",8,349302
"<5204, 0>",9,633061
"<5204, 0>",10,1087057
"<5204, 0>",11,1790185
"<5204, 0>",12,2851408
"<5204, 0>",13,4917278
"<5204, 0>",14,7424388
"<5204, 0>",15,9998119
"<5204, 0>",16,17609470
"<5204, 0>",17,31047378
"<5204, 0>",18,56099525
"<5204, 0>",19,99968961
"<5204, 0>",20,342050139
"<5205, 0>",1,0
"<5205, 0>",2,69833
"<5205, 0>",3,198382
"<5205, 0>",4,352935
"<5205, 0>",5,578309
"<5205, 0>",6,898981
"<5205, 0>",7,1346699
"<5205, 0>",8,1962017
"<5205, 0>",9,2796656
"<5205, 0>",10,4367416
"<5205, 0>",11,6001403
"<5205, 0>",12,8152433
"<5205, 0>",13,10964622
"<5205, 0>",14,14619806
"<5205, 0>",15,17637133
"<5205, 0>",16,25456038
"<5205, 0>",17,40712051
"<5205, 0>",18,66972606
"<5205, 0>",19,129828493
"<5205, 0>",20,341831131
"<5206, 0>",1,0
"<5206, 0>",2,841
"<5206, 0>",3,3940
"<5206, 0>",4,11373
"<5206, 0>",5,34268
"<5206, 0>",6,83993
"<5206, 0>",7,179707
"<5206, 0>",8,349302
"<5206, 0>",9,633061
"<5206, 0>",10,1087057
"<5206, 0>",11,1790185
"<5206, 0>",12,2851408
"<5206, 0>",13,4917278
"<5206, 0>",14,7424388
"<5206, 0>",15,9998119
"<5206, 0>",16,17609470
"<5206, 0>",17,31047378
"<5206, 0>",18,56099525
"<5206, 0>",19,99968961
"<5206, 0>",20,342050139
"<5207, 0>",1,0
"<5207, 0>",2,15249
"<5207, 0>",3,56766
"<5207, 0>",4,138749
"<5207, 0>",5,286717
"<5207, 0>",6,537274
"<5207, 0>",7,942360
"<5207, 0>",8,1390078
"<5207, 0>",9,2005396
"<5207, 0>",10,2840035
"<5207, 0>",11,4410795
"<5207, 0>",12,6044782
"<5207, 0>",13,8195812
"<5207, 0>",14,11008001
"<5207, 0>",15,16107361
"<5207, 0>",16,25508092
"<5207, 0>",17,40781458
"<5207, 0>",18,67068040
"<5207, 0>",19,129958630
"<5207, 0>",20,342004647
"<5208, 0>",1,0
"<5208, 0>",2,226854909
"<5208, 0>",3,1666045137
"<5209, 0>",1,0
"<5209, 0>",2,49725
"<5209, 0>",3,145439
"<5209, 0>",4,315034
"<5209, 0>",5,514379
"<5209, 0>",6,800194
"<5209, 0>",7,1201538
"<5209, 0>",8,1755917
"<5209, 0>",9,2510966
"<5209, 0>",10,3527499
"<5209, 0>",11,5426101
"<5209, 0>",12,7390120
"<5209, 0>",13,9963851
"<5209, 0>",14,14640290
"<5209, 0>",15,17657617
"<5209, 0>",16,25480618
"<5209, 0>",17,40744826
"<5209, 0>",18,67017671
"<5209, 0>",19,129889945
"<5209, 0>",20,341913067
"<5210, 0>",1,0
"<5210, 0>",2,15249
"<5210, 0>",3,56766
"<5210, 0>",4,138749
"<5210, 0>",5,286717
"<5210, 0>",6,537274
"<5210, 0>",7,942360
"<5210, 0>",8,1390078
"<5210, 0>",9,2005396
"<5210, 0>",10,2840035
"<5210, 0>",11,4410795
"<5210, 0>",12,6044782
"<5210, 0>",13,8195812
"<5210, 0>",14,11008001
"<5210, 0>",15,16107361
"<5210, 0>",16,25508092
"<5210, 0>",17,40781458
"<5210, 0>",18,67068040
"<5210, 0>",19,129958630
"<5210, 0>",20,342004647
"<5211, 0>",1,0
"<5211, 0>",2,15249
"<5211, 0>",3,56766
"<5211, 0>",4,138749
"<5211, 0>",5,286717
"<5211, 0>",6,537274
"<5211, 0>",7,942360
"<5211, 0>",8,1390078
"<5211, 0>",9,2005396
"<5211, 0>",10,2840035
"<5211, 0>",11,4410795
"<5211, 0>",12,6044782
"<5211, 0>",13,8195812
"<5211, 0>",14,11008001
"<5211, 0>",15,16107361
"<5211, 0>",16,25508092
"<5211, 0>",17,40781458
"<5211, 0>",18,67068040
"<5211, 0>",19,129958630
"<5211, 0>",20,342004647
"<5213, 0>",1,0
"<5213, 0>",2,199345
"<5213, 0>",3,485160
"<5213, 0>",4,886504
"<5213, 0>",5,1440883
"<5213, 0>",6,1918320
"<5213, 0>",7,2502106
"<5213, 0>",8,3212465
"<5213, 0>",9,4567976
"<5213, 0>",10,5706853
"<5213, 0>",11,7075086
"<5213, 0>",12,8713424
"<5213, 0>",13,10670072
"<5213, 0>",14,14325256
"<5213, 0>",15,17342583
"<5213, 0>",16,25102578
"<5213, 0>",17,40240771
"<5213, 0>",18,66324596
"<5213, 0>",19,128944843
"<5213, 0>",20,340652931
"<5215, 0>",1,0
"<5215, 0>",2,70
"<5215, 0>",3,378
"<5215, 0>",4,1932
"<5215, 0>",5,8599
"<5215, 0>",6,34646
"<5215, 0>",7,84371
